연 번,항 명,주 소,비 고
1,회진항,전라남도 장흥군 회진면 회진선창길 28,
2,녹동항,전라남도 고흥군 도양읍 목넘가는길 19,
3,풍남항,전라남도 고흥군 풍양면 천마로 1418-17,
4,발포항,전라남도 고흥군 도화면 충무사길 109,
5,여호항,전라남도 고흥군 점암면 여호해안길 81,
6,시산항,전라남도 고흥군 도양읍 시산석금길 26,
7,오천항,전라남도 고흥군 금산면 오천리 133-1,
8,국동항,전라남도 여수시 어항단지로 24,
9,낭도항,전라남도 여수시 화정면 여산길 79,
10,돌산항,전라남도 여수시 돌산읍 망월대길 14,
11,안도항,전라남도 여수시 남면 서고지길 16,
12,연도항(전남),전라남도 여수시 남면 연도길 300-6,
13,초도항,전라남도 여수시 삼산면 대동해안길 32,
14,계마항,전라남도 영광군 홍농읍 계마길 31-59,
15,안마항,전라남도 영광군 낙월면 안마길 17,
16,전장포항,전라남도 신안군 임자면 전장포길 908,
17,우이도항,전라남도 신안군 도초면 우이진리길 16,
18,가거도항,전라남도 신안군 흑산면 가거도길 1,
19,송도항,전라남도 신안군 지도읍 송도2길 66,
20,수품항,전라남도 진도군 의신면 수품길 67,
21,서망항,전라남도 진도군 임회면 서망항길 50-17,
22,서거차항,전라남도 진도군 조도면 서거차도리 210,
23,어란진항,전라남도 해남군 송지면 어란로 469,
24,마량항,전라남도 강진군 마량면 미항로 142,
25,득암항,전라남도 완도군 약산면 득암4번길 48-7,
26,사동항(전남),전라남도 완도군 금일읍 사동길 55-1,
27,도장항,전라남도 완도군 금일읍 화목장정길 267,
28,청산도항,전라남도 완도군 청산면 청산로 5,
29,소안항,전라남도 완도군 금일읍 사동길 55-1,
30,보옥항,전라남도 완도군 보길면 보길로 1172-43,
31,여서항,전라남도 완도군 청산면 여서도길 1-1,
32,이목항,전라남도 완도군 노화읍 노화로 891-31,
33,초평항,전라남도 진도군 의신면 초사리 509-7,
