해구번�,중심_위,중심_경,척수
92,35.250000000000000,129.250000000000000,2333131
98,34.750000000000000,128.250000000000000,1350270
99,34.750000000000000,128.750000000000000,1187427
204,34.750000000000000,126.250000000000000,673515
212,34.250000000000000,126.250000000000000,493445
213,34.250000000000000,126.750000000000000,452117
214,34.250000000000000,127.250000000000000,392040
104,34.250000000000000,127.750000000000000,380659
105,34.250000000000000,128.250000000000000,318344
100,34.750000000000000,129.250000000000000,235530
106,34.250000000000000,128.750000000000000,208141
194,35.250000000000000,126.250000000000000,207226
5214,34.750000000000000,127.250000000000000,107123
107,34.250000000000000,129.250000000000000,37300
