지역명,mohid_particle_count,수량(개),무게(kg)
신안임자도,0,119,7.1
진도하조도,0,309,24.9
해남묵동리,0,221,15.4
고흥신흥,0,452,23.2
여수반월,0,246,6.8
사천아두도,0,325,28.3
통영망일봉,0,1215,16.0
마산봉암,0,965,19.6
부산해양대,0,800,22.9
울산대왕암,0,2280,27.7
신안고장,0,971,20.0
해남예락,0,292,58.3
해남송평,0,327,71.9
완도신지도,0,743,42.5
여수백야도,0,525,11.6
고흥염포,0,435,18.3
남해유구,0,188,26.5
거제두모,0,3746,33.8
울주나사리,0,1158,46.0
고성하일,0,1710,21.8
부산가덕도,0,3383,52.1
부산일광,0,2675,36.2
신안압해도,0,1157,98.9
신안우이도,0,3497,1238.0
신안흑산도,0,2733,219.8
여수거문도,0,4207,74.4
여수안도,0,11420,253.5
완도보길도,0,1693,38.4
완도평일도,0,806,85.0
울산주전,0,1380,13.6
진도가사도,0,1349,225.0
통영욕지도,0,2563,47.9
