id,type,lon,lat
"1",river,126.46028452111,35.0953894457364
"2",river,126.444763497071,35.0600248665395
"3",river,126.423163913646,35.0478938921082
"4",river,126.470380594299,34.4654829337863
"5",river,126.690829681377,34.3939171564663
"6",river,126.707492341659,34.3904312442734
"7",river,126.643339937602,34.3755696386244
"8",river,127.736289607147,34.7359781002473
"9",river,127.614979862834,34.8959582304864
"10",river,127.605684096986,34.9210567982752
"11",river,127.515236295288,34.8786681060096
"12",river,127.387698387858,34.780737212804
"13",river,127.285561160606,34.7353041572233
"14",river,127.210207358703,34.7369657753686
"15",river,127.085585997807,34.6680957701444
"16",river,127.031577598232,34.6308778476317
"17",river,126.987980456406,34.6275371817801
"18",river,126.773753722591,34.6180070851684
"19",river,126.766843869978,34.6203000407442
"20",river,126.791946311002,34.4990367752605
"21",river,126.759252327869,34.4912089657696
"22",river,126.56750779108,34.1700828613231
"23",river,126.225692514893,34.5156055639775
"24",river,127.778186088363,34.9306585625253
"25",river,127.925398795837,35.0078093082376
"26",river,128.100553700242,34.919440389866
"27",river,128.202652836071,34.9361300025647
"28",river,128.319411301817,34.9576372354238
"29",river,127.990815195301,34.712764484983
"30",river,127.907883305397,34.763074204087
"31",river,128.946699858279,35.0837900604822
"32",river,128.889989586676,35.0847535845143
"33",river,128.779666085001,35.0722965952423
