지역명,수량(개),무게(kg),Latitude,Longitude
신안임자도,119,7.1,35.088,126.103
진도하조도,309,24.9,34.3166,126.05
해남묵동리,221,15.4,34.35,126.5
고흥신흥,452,23.2,34.4922,127.3481
여수반월,246,6.8,34.7176,127.7663
사천아두도,325,28.3,34.9083,128.0321
통영망일봉,1215,16,34.8486,128.4357
마산봉암,965,19.6,35.21,128.6
부산해양대,800,22.9,35.0763,129.0864
울산대왕암,2280,27.7,35.488,129.436
신안고장,971,20,34.757,125.932
해남예락,292,58.3,34.38,126.55
해남송평,327,71.9,34.4,126.58
완도신지도,743,42.5,34.3317,126.8208
여수백야도,525,11.6,34.6161,127.6472
고흥염포,435,18.3,34.45,127.4
남해유구,188,26.5,34.7592,127.9255
거제두모,3746,33.8,34.9525,128.6947
울주나사리,1158,46,35.362,129.351
고성하일,1710,21.8,34.9316,128.1874
부산가덕도,3383,52.1,35.0255,128.8288
부산일광,2675,36.2,35.2605,129.2344
신안압해도,1157,98.9,34.846,126.319
신안우이도,3497,1238,34.608,125.831
신안흑산도,2733,219.8,34.684,125.435
여수거문도,4207,74.4,34.0286,127.3117
여수안도,11420,253.5,34.4831,127.8005
완도보길도,1693,38.4,34.15,126.5333
완도평일도,806,85,34.3,126.95
울산주전,1380,13.6,35.534,129.444
진도가사도,1349,225,34.4833,126.05
통영욕지도,2563,47.9,34.6297,128.2461
