id,lon,lat,type_beach,type_fishery,type_port,type_river
1,128.65289772,34.73997657,1,0,0,0
2,128.70860726,34.81267238,1,0,0,0
3,128.60369118,34.72642651,1,0,0,0
4,128.71051559,34.91078957,1,0,0,0
5,128.7150014,34.95978333,1,0,0,0
6,128.64152616,34.77466779,1,0,0,0
7,128.70105709,35.00458049,1,0,0,0
8,128.67458768,35.02039244,1,0,0,0
9,128.65247097,35.01081795,1,0,0,0
10,128.57555778,34.77889966,1,0,0,0
11,127.90752772,34.76832095,1,0,0,0
12,127.85593102,34.74355323,1,0,0,0
13,128.02393098,34.72163321,1,0,0,0
14,127.98876675,34.72063654,1,0,0,0
15,128.6259645,34.71389518,1,0,0,0
16,128.69107567,35.0313536,1,0,0,0
17,128.57215178,34.89880787,1,0,0,0
18,128.63073777,34.97791682,1,0,0,0
19,128.09639798,34.92658645,1,0,0,0
20,128.21282688,34.85097606,1,0,0,0
21,128.45996249,34.72051894,1,0,0,0
22,128.439492,34.819363,1,0,0,0
23,127.14557493,34.42980408,1,0,0,0
24,127.18088008,34.63102224,1,0,0,0
25,127.81290537,34.49071107,1,0,0,0
26,127.30431975,34.01992033,1,0,0,0
27,127.61086134,34.64464073,1,0,0,0
28,127.776297,34.683606,1,0,0,0
29,127.75629296,34.79625899,1,0,0,0
30,127.79341928,34.63085093,1,0,0,0
31,127.745476,34.77885683,1,0,0,0
32,126.29390413,34.78105305,1,0,0,0
33,127.11676483,34.44750371,1,0,0,0
34,127.16423622,34.43475474,1,0,0,0
35,126.90817244,34.18335399,1,0,0,0
36,126.96313135,34.31197202,1,0,0,0
37,126.05020223,34.24038752,1,0,0,0
38,126.03945987,34.84953486,1,0,0,0
39,125.98051398,34.87184486,1,0,0,0
40,126.0682002,34.80240061,1,0,0,0
41,126.86216215,34.19602211,1,0,0,0
42,126.92849455,34.37047002,1,0,0,0
43,126.88039945,34.32972168,1,0,0,0
44,127.46966357,34.46672377,1,0,0,0
45,127.49259521,34.43207181,1,0,0,0
46,127.48661216,34.57983178,1,0,0,0
47,127.22959776,34.66437622,1,0,0,0
48,127.08902041,34.67002619,1,0,0,0
49,126.51808554,34.31565595,1,0,0,0
50,126.47115001,34.43550097,1,0,0,0
51,127.06187634,34.33344971,1,0,0,0
52,126.07421026,34.28456189,1,0,0,0
53,128.02600248,34.70656643,1,0,0,0
54,128.64152616,34.77466779,1,0,0,0
55,128.2120603,34.85081786,1,0,0,0
56,128.4397294,34.81993082,1,0,0,0
57,128.500724,35.102496,1,0,0,0
58,127.98876675,34.72063654,1,0,0,0
59,128.02393098,34.72163321,1,0,0,0
60,127.90752772,34.76832095,1,0,0,0
61,127.06187634,34.33344971,1,0,0,0
62,126.81266434,34.32688908,1,0,0,0
63,127.08902041,34.67002619,1,0,0,0
64,127.45866735,34.52735363,1,0,0,0
65,125.97300636,34.58805851,1,0,0,0
66,128.50103655,35.10198241,1,0,0,0
67,128.21282688,34.85097606,1,0,0,0
68,128.64152616,34.77466779,1,0,0,0
69,128.70860726,34.81267238,1,0,0,0
70,127.30441,34.019653,1,0,0,0
71,126.963545,34.311889,1,0,0,0
72,126.880241,34.329411,1,0,0,0
73,126.92849455,34.37047002,1,0,0,0
74,126.907896,34.183691,1,0,0,0
75,126.862057,34.196764,1,0,0,0
76,126.0565946,34.53376209,1,0,0,0
77,127.77642464,34.68325621,1,0,0,0
78,126.51808554,34.31565595,1,0,0,0
79,126.14428484,35.13655232,0,0,1,0
80,126.20198905,35.04382673,0,0,1,0
81,125.91722249,34.25141058,0,0,1,0
82,126.13427007,34.36820632,0,0,1,0
83,126.47472631,34.34985889,0,0,1,0
84,126.51266975,34.12847591,0,0,1,0
85,126.85271269,34.18294157,0,0,1,0
86,126.89269377,34.35764961,0,0,1,0
87,126.81704968,34.44841559,0,0,1,0
88,127.01326998,34.36886963,0,0,1,0
89,127.08152655,34.33921548,0,0,1,0
90,127.13037787,34.52556841,0,0,1,0
91,127.21110739,34.43193673,0,0,1,0
92,127.26323627,34.39871888,0,0,1,0
93,127.24069651,34.23940585,0,0,1,0
94,127.47340356,34.66171738,0,0,1,0
95,127.53689987,34.60417793,0,0,1,0
96,127.72167742,34.61243524,0,0,1,0
97,127.71265924,34.72342858,0,0,1,0
98,127.79633467,34.47825508,0,0,1,0
99,127.79332048,34.42939402,0,0,1,0
100,128.67513566,35.1069771,0,0,1,0
101,128.73063138,35.07546445,0,0,1,0
102,128.78501161,35.02721942,0,0,1,0
103,128.85696084,35.04925039,0,0,1,0
104,128.9760396,35.00658282,0,0,1,0
105,129.06750994,35.02638281,0,0,1,0
106,126.47038059,34.46548293,0,0,0,1
107,127.73628961,34.7359781,0,0,0,1
108,127.38769839,34.78073721,0,0,0,1
109,127.085586,34.66809577,0,0,0,1
110,127.77818609,34.93065856,0,0,0,1
111,128.1005537,34.91944039,0,0,0,1
112,128.20265284,34.93613,0,0,0,1
113,128.3194113,34.95763724,0,0,0,1
114,127.9908152,34.71276448,0,0,0,1
115,127.90788331,34.7630742,0,0,0,1
116,128.94669986,35.08379006,0,0,0,1
117,128.88998959,35.08475358,0,0,0,1
118,128.77966609,35.0722966,0,0,0,1
119,128.25,34.75,0,1,0,0
120,128.75,34.75,0,1,0,0
121,126.25,34.75,0,1,0,0
122,126.25,34.25,0,1,0,0
123,126.75,34.25,0,1,0,0
124,127.25,34.25,0,1,0,0
125,127.75,34.25,0,1,0,0
126,128.25,34.25,0,1,0,0
127,128.75,34.25,0,1,0,0
