fold,island,actual,predicted,error,abs_error,epochs_run
1,신안임자도,119.0,808.0423583984375,689.0423583984375,689.0423583984375,178
2,진도하조도,309.0,671.2783203125,362.2783203125,362.2783203125,137
3,해남묵동리,221.0,793.2018432617188,572.2018432617188,572.2018432617188,178
4,고흥신흥,452.0,769.9632568359375,317.9632568359375,317.9632568359375,181
5,여수반월,246.0,843.6865234375,597.6865234375,597.6865234375,205
6,사천아두도,325.0,760.5702514648438,435.57025146484375,435.57025146484375,166
7,통영망일봉,1215.0,633.1244506835938,-581.8755493164062,581.8755493164062,147
8,마산봉암,965.0,780.8428955078125,-184.1571044921875,184.1571044921875,177
9,부산해양대,800.0,860.4400634765625,60.4400634765625,60.4400634765625,174
10,울산대왕암,2280.0,671.9517211914062,-1608.0482788085938,1608.0482788085938,146
11,신안고장,971.0,768.2144775390625,-202.7855224609375,202.7855224609375,187
12,해남예락,292.0,821.6488647460938,529.6488647460938,529.6488647460938,215
13,해남송평,327.0,832.6288452148438,505.62884521484375,505.62884521484375,219
14,완도신지도,743.0,774.973388671875,31.973388671875,31.973388671875,174
15,여수백야도,525.0,578.3636474609375,53.3636474609375,53.3636474609375,125
16,고흥염포,435.0,838.519287109375,403.519287109375,403.519287109375,201
17,남해유구,188.0,680.4203491210938,492.42034912109375,492.42034912109375,152
18,거제두모,3746.0,778.9596557617188,-2967.0403442382812,2967.0403442382812,188
19,울주나사리,1158.0,748.4766845703125,-409.5233154296875,409.5233154296875,160
20,고성하일,1710.0,765.1719360351562,-944.8280639648438,944.8280639648438,219
21,부산가덕도,3383.0,691.7620849609375,-2691.2379150390625,2691.2379150390625,178
22,부산일광,2675.0,788.7864379882812,-1886.2135620117188,1886.2135620117188,242
23,신안압해도,1157.0,651.5556640625,-505.4443359375,505.4443359375,165
24,신안우이도,3497.0,793.531494140625,-2703.468505859375,2703.468505859375,187
25,신안흑산도,2733.0,764.8651123046875,-1968.1348876953125,1968.1348876953125,225
26,여수거문도,4207.0,674.483642578125,-3532.516357421875,3532.516357421875,159
27,여수안도,11420.0,571.7799072265625,-10848.220092773438,10848.220092773438,129
28,완도보길도,1693.0,679.4625854492188,-1013.5374145507812,1013.5374145507812,163
29,완도평일도,806.0,864.501220703125,58.501220703125,58.501220703125,165
30,울산주전,1380.0,848.5433349609375,-531.4566650390625,531.4566650390625,209
31,진도가사도,1349.0,806.0911865234375,-542.9088134765625,542.9088134765625,158
32,통영욕지도,2563.0,668.4275512695312,-1894.5724487304688,1894.5724487304688,168
